designIndex,iter,curr_drc,prev_drc,delta_drc
0,0,4439,23530,19091
0,1,20310,9980,-10330
0,2,9795,9463,-332
0,3,9015,1041,-7974
0,4,697,302,-395
0,5,255,56,-199
0,6,52,58,6
0,7,45,63,18
0,8,37,112,75
0,9,34,48,14
0,10,27,8,-19
0,11,8,3,-5
0,12,3,1,-2
0,13,1,1,0
0,14,1,1,0
0,15,1,1,0
0,16,1,1,0
0,17,1,1,0
0,18,1,1,0
0,19,1,1,0
0,20,1,1,0
0,21,1,1,0
0,22,1,1,0
0,23,1,1,0
0,24,1,1,0
0,25,1,1,0
0,26,1,1,0
0,27,1,1,0
0,28,1,1,0
0,29,1,1,0
0,30,1,1,0
0,31,1,1,0
0,32,1,1,0
0,33,1,1,0
0,34,1,1,0
0,35,1,1,0
0,36,1,1,0
0,37,1,1,0
0,38,1,1,0
0,39,1,1,0
0,40,1,1,0
0,41,1,1,0
0,42,1,1,0
0,43,1,1,0
0,44,1,1,0
0,45,1,1,0
0,46,1,1,0
0,47,1,1,0
0,48,1,1,0
0,49,1,1,0
0,50,1,1,0
0,51,1,1,0
0,52,1,1,0
0,53,1,1,0
0,54,1,1,0
0,55,1,1,0
0,56,1,1,0
0,57,1,1,0
0,58,1,1,0
0,59,1,1,0
0,60,1,1,0
0,61,1,1,0
0,62,1,1,0
0,63,1,1,0
0,64,1,1,0
1,0,3077,20335,17258
1,1,18494,13402,-5092
1,2,13126,12195,-931
1,3,11961,2996,-8965
1,4,2399,1661,-738
1,5,1229,1248,19
1,6,921,708,-213
1,7,526,469,-57
1,8,214,165,-49
1,9,164,124,-40
1,10,78,11,-67
1,11,11,12,1
1,12,11,10,-1
1,13,8,9,1
1,14,8,10,2
1,15,8,9,1
1,16,8,9,1
1,17,8,14,6
1,18,14,11,-3
1,19,11,8,-3
1,20,8,9,1
1,21,9,10,1
1,22,8,10,2
1,23,8,8,0
1,24,8,9,1
1,25,9,19,10
1,26,18,9,-9
1,27,9,9,0
1,28,9,9,0
1,29,9,13,4
1,30,9,8,-1
1,31,8,0,-8
2,0,3234,30423,27189
2,1,28642,20316,-8326
2,2,20287,19579,-708
2,3,19458,7526,-11932
2,4,6506,3055,-3451
2,5,2687,2119,-568
2,6,1397,1402,5
2,7,804,1100,296
2,8,564,1160,596
2,9,413,503,90
2,10,348,75,-273
2,11,66,141,75
2,12,57,63,6
2,13,27,26,-1
2,14,13,11,-2
2,15,11,16,5
2,16,11,18,7
2,17,11,311,300
2,18,11,8,-3
2,19,8,9,1
2,20,8,2,-6
2,21,2,2,0
2,22,2,2,0
2,23,2,85,83
2,24,2,2,0
2,25,2,36,34
2,26,2,2,0
2,27,2,2,0
2,28,2,2,0
2,29,2,2,0
2,30,2,73,71
2,31,2,0,-2
3,0,1601,9298,7697
3,1,8229,5134,-3095
3,2,5070,4783,-287
3,3,4607,1307,-3300
3,4,1058,178,-880
3,5,166,233,67
3,6,115,143,28
3,7,104,353,249
3,8,93,23,-70
3,9,22,36,14
3,10,24,8,-16
3,11,4,0,-4
4,0,20,55,35
4,1,52,12,-40
4,2,12,16,4
4,3,17,2,-15
4,4,1,0,-1
5,0,2013,5656,3643
5,1,5077,1022,-4055
5,2,1001,655,-346
5,3,600,5,-595
5,4,2,0,-2
6,0,899,3357,2458
6,1,2841,742,-2099
6,2,717,526,-191
6,3,493,3,-490
6,4,1,0,-1
7,0,66,61,-5
7,1,110,25,-85
7,2,28,27,-1
7,3,22,0,-22
8,0,859,3296,2437
8,1,2891,712,-2179
8,2,693,520,-173
8,3,446,8,-438
8,4,2,0,-2
9,0,503,2063,1560
9,1,1766,542,-1224
9,2,523,423,-100
9,3,384,3,-381
9,4,3,1,-2
9,5,1,1,0
9,6,1,0,-1
10,0,3913,27575,23662
