OpenROAD autotuner-v1-2861-g832b18e7 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO PDN-0001] Inserting grid: grid
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_0__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_1__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_2__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_3__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_4__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_5__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_6__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_7__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/stat_mem.macro_mem.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/tag_mem.macro_mem.mem
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (13.8550, 548.9700) - (14.3350, 550.2850) on VDD
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (182.4150, 548.9700) - (182.8950, 550.2850) on VDD
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (354.8950, 548.9700) - (355.3750, 550.2850) on VDD
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (527.0950, 548.9700) - (527.5750, 550.2850) on VDD
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (367.1700, 567.5250) - (367.4500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (370.5300, 567.5250) - (370.8100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (373.8900, 567.5250) - (374.1700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (377.2500, 567.5250) - (377.5300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (380.6100, 567.5250) - (380.8900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (383.9700, 567.5250) - (384.2500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (387.3300, 567.5250) - (387.6100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (390.6900, 567.5250) - (390.9700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (394.0500, 567.5250) - (394.3300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (397.4100, 567.5250) - (397.6900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (400.7700, 567.5250) - (401.0500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (404.1300, 567.5250) - (404.4100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (407.4900, 567.5250) - (407.7700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (410.8500, 567.5250) - (411.1300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (414.2100, 567.5250) - (414.4900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (417.5700, 567.5250) - (417.8500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (420.9300, 567.5250) - (421.2100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (424.2900, 567.5250) - (424.5700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (427.6500, 567.5250) - (427.9300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (431.0100, 567.5250) - (431.2900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (434.3700, 567.5250) - (434.6500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (437.7300, 567.5250) - (438.0100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (441.0900, 567.5250) - (441.3700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (444.4500, 567.5250) - (444.7300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (447.8100, 567.5250) - (448.0900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (451.1700, 567.5250) - (451.4500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (454.5300, 567.5250) - (454.8100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (457.8900, 567.5250) - (458.1700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (461.2500, 567.5250) - (461.5300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (464.6100, 567.5250) - (464.8900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (467.9700, 567.5250) - (468.2500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (471.3300, 567.5250) - (471.6100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (474.6900, 567.5250) - (474.9700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (478.0500, 567.5250) - (478.3300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (481.4100, 567.5250) - (481.6900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (484.7700, 567.5250) - (485.0500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (488.1300, 567.5250) - (488.4100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (491.4900, 567.5250) - (491.7700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (494.8500, 567.5250) - (495.1300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (498.2100, 567.5250) - (498.4900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (501.5700, 567.5250) - (501.8500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (504.9300, 567.5250) - (505.2100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (508.2900, 567.5250) - (508.5700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (511.6500, 567.5250) - (511.9300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (515.0100, 567.5250) - (515.2900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (367.1700, 434.1050) - (367.4500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (370.5300, 434.1050) - (370.8100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (373.8900, 434.1050) - (374.1700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (377.2500, 434.1050) - (377.5300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (380.6100, 434.1050) - (380.8900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (383.9700, 434.1050) - (384.2500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (387.3300, 434.1050) - (387.6100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (390.6900, 434.1050) - (390.9700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (394.0500, 434.1050) - (394.3300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (397.4100, 434.1050) - (397.6900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (400.7700, 434.1050) - (401.0500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (404.1300, 434.1050) - (404.4100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (407.4900, 434.1050) - (407.7700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (410.8500, 434.1050) - (411.1300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (414.2100, 434.1050) - (414.4900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (417.5700, 434.1050) - (417.8500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (420.9300, 434.1050) - (421.2100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (424.2900, 434.1050) - (424.5700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (427.6500, 434.1050) - (427.9300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (431.0100, 434.1050) - (431.2900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (434.3700, 434.1050) - (434.6500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (437.7300, 434.1050) - (438.0100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (441.0900, 434.1050) - (441.3700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (444.4500, 434.1050) - (444.7300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (447.8100, 434.1050) - (448.0900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (451.1700, 434.1050) - (451.4500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (454.5300, 434.1050) - (454.8100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (457.8900, 434.1050) - (458.1700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (461.2500, 434.1050) - (461.5300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (464.6100, 434.1050) - (464.8900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (467.9700, 434.1050) - (468.2500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (471.3300, 434.1050) - (471.6100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (474.6900, 434.1050) - (474.9700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (478.0500, 434.1050) - (478.3300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (481.4100, 434.1050) - (481.6900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (484.7700, 434.1050) - (485.0500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (488.1300, 434.1050) - (488.4100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (491.4900, 434.1050) - (491.7700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (494.8500, 434.1050) - (495.1300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (498.2100, 434.1050) - (498.4900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (501.5700, 434.1050) - (501.8500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (504.9300, 434.1050) - (505.2100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (508.2900, 434.1050) - (508.5700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (511.6500, 434.1050) - (511.9300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (515.0100, 434.1050) - (515.2900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (22.5600, 434.1050) - (22.8400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (25.9200, 434.1050) - (26.2000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (29.2800, 434.1050) - (29.5600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (32.6400, 434.1050) - (32.9200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (36.0000, 434.1050) - (36.2800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (39.3600, 434.1050) - (39.6400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (42.7200, 434.1050) - (43.0000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (46.0800, 434.1050) - (46.3600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (49.4400, 434.1050) - (49.7200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (52.8000, 434.1050) - (53.0800, 434.4700) on VSS
