OpenROAD autotuner-v1-2861-g832b18e7 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[WARNING STA-0337] port 'icache_id_i[0]' not found.
[INFO PDN-0001] Inserting grid: grid
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - bp_fe_pc_gen_1/genblk1_branch_prediction_1/btb_1/btb_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_0__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_1__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_2__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_3__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_4__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_5__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_6__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_7__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/metadata_mem.macro_mem.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/tag_mem.macro_mem.mem
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (527.0950, 582.5000) - (527.5750, 583.8850) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (534.7300, 23.2750) - (535.0100, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (538.0900, 23.2750) - (538.3700, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (541.4500, 23.2750) - (541.7300, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (544.8100, 23.2750) - (545.0900, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (548.1700, 23.2750) - (548.4500, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (551.5300, 23.2750) - (551.8100, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (554.8900, 23.2750) - (555.1700, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (558.2500, 23.2750) - (558.5300, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (561.6100, 23.2750) - (561.8900, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (564.9700, 23.2750) - (565.2500, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (568.3300, 23.2750) - (568.6100, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (571.6900, 23.2750) - (571.9700, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (575.0500, 23.2750) - (575.3300, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (578.4100, 23.2750) - (578.6900, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (581.7700, 23.2750) - (582.0500, 23.6400) on VSS
