OpenROAD autotuner-v1-2861-g832b18e7 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[WARNING STA-0320] current_design for other than top cell not supported.
[INFO PDN-0001] Inserting grid: grid
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_0__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_1__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_2__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_3__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_4__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_5__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_6__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_7__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_0__SUBBANKS_0__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_0__SUBBANKS_1__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_0__SUBBANKS_2__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_0__SUBBANKS_3__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_1__SUBBANKS_0__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_1__SUBBANKS_1__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_1__SUBBANKS_2__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_1__SUBBANKS_3__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_2__SUBBANKS_0__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_2__SUBBANKS_1__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_2__SUBBANKS_2__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_2__SUBBANKS_3__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_3__SUBBANKS_0__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_3__SUBBANKS_1__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_3__SUBBANKS_2__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_3__SUBBANKS_3__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_tag_inst.WAYS_0__ICACHE_SZ_16_ic_way_tag.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_tag_inst.WAYS_1__ICACHE_SZ_16_ic_way_tag.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_tag_inst.WAYS_2__ICACHE_SZ_16_ic_way_tag.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_tag_inst.WAYS_3__ICACHE_SZ_16_ic_way_tag.mem
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (13.8550, 417.5000) - (14.3350, 418.6850) on VDD
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (67.8300, 432.5000) - (68.3100, 432.9550) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (128.3750, 417.5000) - (128.8550, 418.6850) on VDD
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (179.8300, 432.5000) - (180.3100, 432.9550) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (235.8300, 432.5000) - (236.3100, 432.9550) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (862.2550, 264.1700) - (862.7350, 264.6850) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (1085.1350, 264.1700) - (1085.6150, 264.6850) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (874.8900, 42.7350) - (875.1700, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (878.2500, 42.7350) - (878.5300, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (881.6100, 42.7350) - (881.8900, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (884.9700, 42.7350) - (885.2500, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (888.3300, 42.7350) - (888.6100, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (891.6900, 42.7350) - (891.9700, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (895.0500, 42.7350) - (895.3300, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (898.4100, 42.7350) - (898.6900, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (901.7700, 42.7350) - (902.0500, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (905.1300, 42.7350) - (905.4100, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (908.4900, 42.7350) - (908.7700, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (911.8500, 42.7350) - (912.1300, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (915.2100, 42.7350) - (915.4900, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (918.5700, 42.7350) - (918.8500, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (921.9300, 42.7350) - (922.2100, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (925.2900, 42.7350) - (925.5700, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (928.6500, 42.7350) - (928.9300, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (932.0100, 42.7350) - (932.2900, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (935.3700, 42.7350) - (935.6500, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (938.7300, 42.7350) - (939.0100, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (942.0900, 42.7350) - (942.3700, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (945.4500, 42.7350) - (945.7300, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (948.8100, 42.7350) - (949.0900, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (952.1700, 42.7350) - (952.4500, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (955.5300, 42.7350) - (955.8100, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (958.8900, 42.7350) - (959.1700, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (962.2500, 42.7350) - (962.5300, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (965.6100, 42.7350) - (965.8900, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (968.9700, 42.7350) - (969.2500, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (972.3300, 42.7350) - (972.6100, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (975.6900, 42.7350) - (975.9700, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (979.0500, 42.7350) - (979.3300, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (982.4100, 42.7350) - (982.6900, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (985.7700, 42.7350) - (986.0500, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (989.1300, 42.7350) - (989.4100, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (992.4900, 42.7350) - (992.7700, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (995.8500, 42.7350) - (996.1300, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (999.2100, 42.7350) - (999.4900, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1002.5700, 42.7350) - (1002.8500, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1005.9300, 42.7350) - (1006.2100, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1009.2900, 42.7350) - (1009.5700, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1012.6500, 42.7350) - (1012.9300, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1016.0100, 42.7350) - (1016.2900, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1019.3700, 42.7350) - (1019.6500, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1022.7300, 42.7350) - (1023.0100, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1026.0900, 42.7350) - (1026.3700, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1029.4500, 42.7350) - (1029.7300, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1032.8100, 42.7350) - (1033.0900, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1036.1700, 42.7350) - (1036.4500, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1039.5300, 42.7350) - (1039.8100, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1042.8900, 42.7350) - (1043.1700, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1046.2500, 42.7350) - (1046.5300, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1049.6100, 42.7350) - (1049.8900, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1052.9700, 42.7350) - (1053.2500, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1056.3300, 42.7350) - (1056.6100, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1059.6900, 42.7350) - (1059.9700, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1063.0500, 42.7350) - (1063.3300, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1066.4100, 42.7350) - (1066.6900, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1069.7700, 42.7350) - (1070.0500, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1073.1300, 42.7350) - (1073.4100, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1076.4900, 42.7350) - (1076.7700, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (647.9800, 42.7350) - (648.2600, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (651.3400, 42.7350) - (651.6200, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (654.7000, 42.7350) - (654.9800, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (658.0600, 42.7350) - (658.3400, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (661.4200, 42.7350) - (661.7000, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (664.7800, 42.7350) - (665.0600, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (668.1400, 42.7350) - (668.4200, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (671.5000, 42.7350) - (671.7800, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (674.8600, 42.7350) - (675.1400, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (678.2200, 42.7350) - (678.5000, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (681.5800, 42.7350) - (681.8600, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (684.9400, 42.7350) - (685.2200, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (688.3000, 42.7350) - (688.5800, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (691.6600, 42.7350) - (691.9400, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (695.0200, 42.7350) - (695.3000, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (698.3800, 42.7350) - (698.6600, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (701.7400, 42.7350) - (702.0200, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (705.1000, 42.7350) - (705.3800, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (708.4600, 42.7350) - (708.7400, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (711.8200, 42.7350) - (712.1000, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (715.1800, 42.7350) - (715.4600, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (718.5400, 42.7350) - (718.8200, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (721.9000, 42.7350) - (722.1800, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (725.2600, 42.7350) - (725.5400, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (728.6200, 42.7350) - (728.9000, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (731.9800, 42.7350) - (732.2600, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (735.3400, 42.7350) - (735.6200, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (738.7000, 42.7350) - (738.9800, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (742.0600, 42.7350) - (742.3400, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (745.4200, 42.7350) - (745.7000, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (748.7800, 42.7350) - (749.0600, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (752.1400, 42.7350) - (752.4200, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (755.5000, 42.7350) - (755.7800, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (758.8600, 42.7350) - (759.1400, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (762.2200, 42.7350) - (762.5000, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (765.5800, 42.7350) - (765.8600, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (768.9400, 42.7350) - (769.2200, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (772.3000, 42.7350) - (772.5800, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (775.6600, 42.7350) - (775.9400, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (779.0200, 42.7350) - (779.3000, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (782.3800, 42.7350) - (782.6600, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (785.7400, 42.7350) - (786.0200, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (789.1000, 42.7350) - (789.3800, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (792.4600, 42.7350) - (792.7400, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (795.8200, 42.7350) - (796.1000, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (799.1800, 42.7350) - (799.4600, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (802.5400, 42.7350) - (802.8200, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (805.9000, 42.7350) - (806.1800, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (809.2600, 42.7350) - (809.5400, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (812.6200, 42.7350) - (812.9000, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (815.9800, 42.7350) - (816.2600, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (819.3400, 42.7350) - (819.6200, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (822.7000, 42.7350) - (822.9800, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (826.0600, 42.7350) - (826.3400, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (829.4200, 42.7350) - (829.7000, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (832.7800, 42.7350) - (833.0600, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (836.1400, 42.7350) - (836.4200, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (839.5000, 42.7350) - (839.7800, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (842.8600, 42.7350) - (843.1400, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (846.2200, 42.7350) - (846.5000, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (849.5800, 42.7350) - (849.8600, 43.1000) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (647.9800, 282.6250) - (648.2600, 282.9900) on VSS
