OpenROAD v2.0-11432-gead3236e5 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
clock_tree_synthesis -sink_clustering_enable -balance_levels
[INFO CTS-0050] Root buffer is sky130_fd_sc_hd__clkbuf_16.
[INFO CTS-0051] Sink buffer is sky130_fd_sc_hd__clkbuf_16.
[INFO CTS-0052] The following clock buffers will be used for CTS:
                    sky130_fd_sc_hd__clkbuf_16
[INFO CTS-0049] Characterization buffer is sky130_fd_sc_hd__clkbuf_16.
[INFO CTS-0039] Number of created patterns = 4200.
[INFO CTS-0084] Compiling LUT.
Min. len    Max. len    Min. cap    Max. cap    Min. slew   Max. slew
2           8           1           20          1           7           
[WARNING CTS-0043] 560 wires are pure wire and no slew degradation.
TritonCTS forced slew degradation on these wires.
[INFO CTS-0046]     Number of wire segments: 4200.
[INFO CTS-0047]     Number of keys in characterization LUT: 220.
[INFO CTS-0048]     Actual min input cap: 1.
[INFO CTS-0007] Net "CLK" found for clock "CLK".
[INFO CTS-0010]  Clock net "CLK" has 4608 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[9\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[9\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[9\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[9\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[8\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[8\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[8\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[8\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[7\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[7\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[7\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[7\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[6\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[6\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[6\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[6\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[63\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[63\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[63\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[63\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[62\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[62\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[62\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[62\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[61\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[61\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[61\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[61\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[60\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[60\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[60\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[60\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[5\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[5\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[5\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[5\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[59\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[59\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[59\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[59\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[58\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[58\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[58\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[58\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[57\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[57\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[57\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[57\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[56\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[56\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[56\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[56\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[55\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[55\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[55\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[55\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[54\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[54\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[54\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[54\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[53\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[53\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[53\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[53\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[52\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[52\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[52\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[52\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[51\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[51\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[51\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[51\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[50\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[50\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[50\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[50\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[4\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[4\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[4\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[4\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[49\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[49\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[49\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[49\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[48\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[48\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[48\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[48\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[47\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[47\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[47\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[47\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[46\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[46\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[46\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[46\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[45\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[45\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[45\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[45\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[44\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[44\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[44\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[44\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[43\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[43\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[43\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[43\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[42\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[42\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[42\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[42\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[41\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[41\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[41\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[41\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[40\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[40\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[40\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[40\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[3\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[3\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[3\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[3\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[39\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[39\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[39\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[39\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[38\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[38\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[38\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[38\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[37\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[37\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[37\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[37\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[36\].W.B3.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[36\].W.B2.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[36\].W.B1.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[36\].W.B0.GCLK" has 8 sinks.
[INFO CTS-0010]  Clock net "COLUMN\[3\].RAMCOLS.B_0_0.WORD\[35\].W.B3.GCLK" has 8 sinks.
