design,size,offset,mazeEndIter,DRCCost,MarkerCost,FixedShapeCost,Decay,ripupMode,followGuide,DRC
0,7.0,0.0,3.0,8.0,0.0,8.0,0.95,ALL,True,10178
0,7.0,-2.0,3.0,8.0,8.0,8.0,0.95,ALL,True,569
0,7.0,-5.0,3.0,8.0,8.0,8.0,0.95,ALL,True,499
0,7.0,0.0,8.0,8.0,32.0,16.0,0.95,DRC,False,1
0,7.0,-1.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
0,7.0,-2.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
0,7.0,-3.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
0,7.0,-4.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
0,7.0,-5.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
0,7.0,-6.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
0,7.0,0.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
0,7.0,-1.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
0,7.0,-2.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
0,7.0,-3.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
0,7.0,-4.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
0,7.0,-5.0,8.0,16.0,32.0,32.0,0.95,DRC,False,0
0,7.0,-6.0,8.0,16.0,32.0,32.0,0.95,DRC,False,0
0,7.0,-3.0,8.0,8.0,32.0,32.0,0.95,ALL,False,0
0,7.0,0.0,8.0,32.0,32.0,32.0,0.95,DRC,False,0
0,7.0,-1.0,8.0,32.0,32.0,32.0,0.95,DRC,False,0
0,7.0,-2.0,8.0,32.0,32.0,80.0,0.95,DRC,False,0
0,7.0,-3.0,8.0,32.0,32.0,80.0,0.95,DRC,False,0
0,7.0,-4.0,8.0,32.0,32.0,80.0,0.95,DRC,False,0
0,7.0,-5.0,8.0,8.0,32.0,80.0,0.95,NEARDRC,False,0
0,7.0,-6.0,8.0,32.0,32.0,80.0,0.95,DRC,False,0
0,5.0,-2.0,8.0,8.0,32.0,80.0,0.95,ALL,False,0
0,7.0,0.0,8.0,64.0,64.0,80.0,0.95,DRC,False,0
0,7.0,-1.0,8.0,64.0,64.0,80.0,0.95,DRC,False,0
0,7.0,-2.0,8.0,64.0,64.0,80.0,0.95,DRC,False,0
0,7.0,-3.0,8.0,64.0,64.0,80.0,0.95,DRC,False,0
0,7.0,-4.0,8.0,8.0,32.0,400.0,0.95,NEARDRC,False,0
0,7.0,-5.0,8.0,64.0,64.0,400.0,0.95,DRC,False,0
0,7.0,-6.0,8.0,64.0,64.0,400.0,0.95,DRC,False,0
0,3.0,-1.0,8.0,8.0,32.0,400.0,0.95,ALL,False,0
0,7.0,0.0,8.0,128.0,128.0,400.0,0.95,DRC,False,0
0,7.0,-1.0,8.0,128.0,128.0,400.0,0.95,DRC,False,0
0,7.0,-2.0,8.0,128.0,128.0,400.0,0.95,DRC,False,0
0,7.0,-3.0,8.0,8.0,32.0,400.0,0.95,NEARDRC,False,0
0,7.0,-4.0,8.0,128.0,128.0,400.0,0.95,DRC,False,0
0,7.0,-5.0,8.0,128.0,128.0,400.0,0.95,DRC,False,0
0,7.0,-6.0,8.0,128.0,128.0,800.0,0.99,DRC,False,0
0,3.0,-2.0,8.0,8.0,32.0,800.0,0.99,ALL,False,0
0,7.0,0.0,16.0,128.0,128.0,800.0,0.99,DRC,False,0
